Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Valor,SEXE,EDAT_1
2023-01-01,1,Ciutat Vella,1,el Raval,2,6,1,81
2023-01-01,1,Ciutat Vella,1,el Raval,2,13,1,82
2023-01-01,1,Ciutat Vella,1,el Raval,2,8,1,83
2023-01-01,1,Ciutat Vella,1,el Raval,2,..,1,84
2023-01-01,1,Ciutat Vella,1,el Raval,2,7,1,85
2023-01-01,1,Ciutat Vella,1,el Raval,2,10,1,86
2023-01-01,1,Ciutat Vella,1,el Raval,2,6,1,87
2023-01-01,1,Ciutat Vella,1,el Raval,2,13,1,88
2023-01-01,1,Ciutat Vella,1,el Raval,2,8,1,89
2023-01-01,1,Ciutat Vella,1,el Raval,2,5,1,90
2023-01-01,1,Ciutat Vella,1,el Raval,2,7,1,91
2023-01-01,1,Ciutat Vella,1,el Raval,2,..,1,92
2023-01-01,1,Ciutat Vella,1,el Raval,2,..,1,93
2023-01-01,1,Ciutat Vella,1,el Raval,2,..,1,94
2023-01-01,1,Ciutat Vella,1,el Raval,2,..,1,95
2023-01-01,1,Ciutat Vella,1,el Raval,2,..,1,96
2023-01-01,1,Ciutat Vella,1,el Raval,2,..,1,97
2023-01-01,1,Ciutat Vella,1,el Raval,2,..,1,100
2023-01-01,1,Ciutat Vella,1,el Raval,2,33,2,0
2023-01-01,1,Ciutat Vella,1,el Raval,2,45,2,1
2023-01-01,1,Ciutat Vella,1,el Raval,2,37,2,2
2023-01-01,1,Ciutat Vella,1,el Raval,2,40,2,3
2023-01-01,1,Ciutat Vella,1,el Raval,2,34,2,4
2023-01-01,1,Ciutat Vella,1,el Raval,2,34,2,5
2023-01-01,1,Ciutat Vella,1,el Raval,2,35,2,6
2023-01-01,1,Ciutat Vella,1,el Raval,2,38,2,7
2023-01-01,1,Ciutat Vella,1,el Raval,2,37,2,8
2023-01-01,1,Ciutat Vella,1,el Raval,2,44,2,9
2023-01-01,1,Ciutat Vella,1,el Raval,2,46,2,10
2023-01-01,1,Ciutat Vella,1,el Raval,2,31,2,11
2023-01-01,1,Ciutat Vella,1,el Raval,2,32,2,12
2023-01-01,1,Ciutat Vella,1,el Raval,2,36,2,13
2023-01-01,1,Ciutat Vella,1,el Raval,2,36,2,14
2023-01-01,1,Ciutat Vella,1,el Raval,2,24,2,15
2023-01-01,1,Ciutat Vella,1,el Raval,2,29,2,16
2023-01-01,1,Ciutat Vella,1,el Raval,2,49,2,17
2023-01-01,1,Ciutat Vella,1,el Raval,2,38,2,18
2023-01-01,1,Ciutat Vella,1,el Raval,2,39,2,19
2023-01-01,1,Ciutat Vella,1,el Raval,2,41,2,20
2023-01-01,1,Ciutat Vella,1,el Raval,2,36,2,21
2023-01-01,1,Ciutat Vella,1,el Raval,2,52,2,22
2023-01-01,1,Ciutat Vella,1,el Raval,2,47,2,23
2023-01-01,1,Ciutat Vella,1,el Raval,2,52,2,24
2023-01-01,1,Ciutat Vella,1,el Raval,2,67,2,25
2023-01-01,1,Ciutat Vella,1,el Raval,2,64,2,26
2023-01-01,1,Ciutat Vella,1,el Raval,2,73,2,27
2023-01-01,1,Ciutat Vella,1,el Raval,2,63,2,28
2023-01-01,1,Ciutat Vella,1,el Raval,2,85,2,29
2023-01-01,1,Ciutat Vella,1,el Raval,2,76,2,30
2023-01-01,1,Ciutat Vella,1,el Raval,2,66,2,31
2023-01-01,1,Ciutat Vella,1,el Raval,2,68,2,32
2023-01-01,1,Ciutat Vella,1,el Raval,2,83,2,33
2023-01-01,1,Ciutat Vella,1,el Raval,2,67,2,34
2023-01-01,1,Ciutat Vella,1,el Raval,2,78,2,35
2023-01-01,1,Ciutat Vella,1,el Raval,2,60,2,36
2023-01-01,1,Ciutat Vella,1,el Raval,2,67,2,37
2023-01-01,1,Ciutat Vella,1,el Raval,2,67,2,38
2023-01-01,1,Ciutat Vella,1,el Raval,2,64,2,39
